Domaine d'intervention;STRUCTURE PORTEUSE;ESPACE/LIEUX/SERVICE;ADRESSE;CP;VILLE;INTITULE ACTION;Coordonnées Référent;DESCRIPTION;METHODE ET OUTILS;MODE D'INTERVENTION;PUBLIC CIBLE;SITE INTERNET
ACCULTURATION ET EDUCATION AU NUMERIQUE;Médiathèque de Barcelonnette;;Place Gilles de Gennes;04400;Barcelonnette;CyberJeune;Tel: 04 92 81 51 65 Mail: multi-media@ville-barcelonnette.fr;;;En collaboration avec l'animatrice jeunesse-livre;4-11 ans;http://www.mediatheques-ubaye.net/
ACCULTURATION ET EDUCATION AU NUMERIQUE;Médiathèque de Barcelonnette;;Place Gilles de Gennes;04400;Barcelonnette;MultiTime Éducation/ Culture;Tel: 04 92 81 51 65 Mail: multi-media@ville-barcelonnette.fr;;;;Seniors;http://www.mediatheques-ubaye.net/
INSERTION ET FORMATIONS PROFESSIONNELLES;Médiathèque de Barcelonnette;;Place Gilles de Gennes;04400;Barcelonnette;MultiTime Emploi/ Insertion;Tel: 04 92 81 51 65 Mail: multi-media@ville-barcelonnette.fr;Apprentissage de la souris et du Traitement de texte. Création et gestion d'une boîte mail. Présentation et accompagnement des autoformations en ligne que propose la Médiathèque sur son portail (Vodeclic, ToutApprendre et Orthodidacte).;;Accompagnement individuel et collectif des demandeurs d’emploi.;Demandeurs d'emploi;http://www.mediatheques-ubaye.net/
ADMINISTRATION EN LIGNE;MSAP Seyne les Alpes;;Rue du Barri ;04140;Seyne-les-Alpes.;Du papier…au numérique;Tel: 04 92 35 28 50 Mail:  rspseyne@free.fr;;A la demande;Accompagnement individuel;Tout public;http://www.cc-pays-de-seyne.fr/spip.php?rubrique22
INSERTION ET FORMATIONS PROFESSIONNELLES;Les Petits Débrouillards PACA;;10 rue Arthur Robert;04100;;Class Code;"Tel : 06 38 80 85 10
Mail : y.sanchez@lespetitsdebrouillards.org
";Class´Code propose un programme de formation gratuit à destination de toutes personnes désireuses d’initier les jeunes de 8 à 14 ans à la pensée informatique. Le programme comprendra de 1 à 5 modules de formation en ligne d’une dizaine d’heures chacun, couplé à des temps de rencontre présentielle pour partager, expérimenter et échanger entre apprenants.;Au travers d’une pratique concrète de la programmation et d’activités débranchées, comprendre les concepts clés de l’informatique et les enjeux de société qui y sont liés pour être en capacité d’animer des ateliers sur ces sujets dès le premier module. ;"La formation se fait :
– en ligne, pour acquérir un savoir-faire concret (apprentissage par la pratique) et partager des savoirs.
– lors de temps de rencontre* pour tester les activités avant de les proposer aux jeunes, bénéficier de temps d’échanges avec des professionnels de l’éducation et de l’informatique, rester en lien ensuite pour être accompagné.
";"Professionnels de l'enseignement, de la formation, de la médiation numérique, parents, tous curieux… 
Les contenus pédagogiques sur lesquels vous serez formés à animer sont destinés quant à eux à des enfants de 8 à 14 ans. 
";http://www.lespetitsdebrouillardspaca.org/
ACCULTURATION ET EDUCATION AU NUMERIQUE;Les Petits Débrouillards PACA;;10 rue Arthur Robert;04100;Manosque;D'Clic Lab, Open Lab, Récréa Lab…;"Tel : 06 38 80 85 10
Mail : y.sanchez@lespetitsdebrouillards.org
";Dispositif d'accompagnement des publics pour repérer les bonnes pratiques, s'initier au numérique, explorer les sciences, mutualiser du matériel, fabriquer ensemble, se rassembler pour questionner des enjeux de société... ;Par une approche ludique et interactive, nous tendons à attiser la curiosité des jeunes et des moins jeunes sur des questions dépassant le cadre strict des sciences et des techniques se rattachant au quotidien des publics. ;Ateliers et Stages collectifs au sein de l'espace numérique;Tout public;http://www.lespetitsdebrouillardspaca.org/
ACCULTURATION ET EDUCATION AU NUMERIQUE;Les Petits Débrouillards PACA;;10 rue Arthur Robert;4100;Manosque;Le Science Tour du Numérique;"Tel : 06 38 80 85 10
Mail : y.sanchez@lespetitsdebrouillards.org
";Le Science Tour est un dispositif de mobilisation et de mise en avant des acteurs de la médiation numérique. Partant de l’idée d’un Fablab itinérant, il permet la création d’espaces d’échanges, de débat, d’expérimentations et de questionnements en tout lieu et surtout là où on ne l’attend pas ! ;"La démarche des Petits Débrouillards est basée sur l’expérimentation afin de développer un regard curieux et informé sur le monde qui nous entoure. 

Une mise en scène ludique et des constructions simples et sans danger, à partir de matériel courant et peu coûteux, favorisent la participation active des publics. 

En animation, les participants réalisent des expériences, observent, discutent, se posent des questions, construisent des réponses, se posent d’autres questions, réalisent des projets et apprennent à apprendre tout en s’amusant.
";Format événementiel et festif;Les publics privilégiés seront les jeunes ayant difficilement accès à l’offre de culture scientifique et numérique. Le projet vise prioritairement des interventions en semaine au sein de structures sociales et d’établissements scolaires situés en quartiers difficiles ou en zone rurale. Le science tour sera proposé au grand public les week-ends et mercredis. ;http://www.lespetitsdebrouillardspaca.org/
ADMINISTRATION EN LIGNE;CCAS;POLE SOCIAL;18 rue Georges AUBIN;04;Digne Les Bains;;Tel : 04 92 36 07 08              Mail : marc.roux@dignelesbains.fr;Accompagnement aux déclarations en ligne des allocatires du RSA (CAF.fr) et des demandeurs d’emploi (pôle emploi.fr), avec ou sans les conseillers CAF et pôle emploi.;Ordinateurs et tablettes numériques;Ateliers collectifs et Accompagnements individuels;Allocataires du RSA et Demandeurs d'emploi ;
ADMINISTRATION EN LIGNE;CCAS;POLE SOCIAL;18 rue Georges AUBIN;04;Digne Les Bains;;Tel : 04 92 36 07 08              Mail : marc.roux@dignelesbains.fr;Accompagnement, avec et sans les partenaires, pour l'apprentissage et la réalisation de démarches administratives en ligne.;Ordinateurs et tablettes numériques;Ateliers collectifs et Accompagnements individuels;Tout public, avec une priorité au public précaire et/ou en fracture numérique;
ACCULTURATION ET EDUCATION AU NUMERIQUE;LUMEN;Centre culturel René-Char;45 avenue du 8 mai 1945;04;Digne Les Bains;Ateliers périscolaires;Tel: 04 92 30 87 17 Mail: ecm@dignelesbains.fr;Education à l’image, la sensibilisation à la musique assistée par ordinateur et au traitement du son,  le montage vidéo et la création de diaporamas. Ils permettent d’aborder les notions de « droits d’auteur », de « creative commons », de « mash up »...;Ordinateurs équipés de logiciels de traitement de l’image, du son et vidéo / tablettes IPAD et applications/ appareil photographique numérique;Activité et stage de loisir, sous la forme de 2 ateliers hebdomadaires de 1h, le mercredi matin, animé par une animatrice.;Enfants âgés de 6 à 10 ans;
ART, CULTURE ET PATRIMOINE;LUMEN;Centre culturel René-Char;45 avenue du 8 mai 1945;04;Digne Les Bains;OPPOSITE ;Tel: 04 92 30 87 17 Mail: ecm@dignelesbains.fr;OPPOSITE est une installation numérique, « un astrolabe tactile et ludique » croisant création numérique et culture scientifique sur les forces d’attractions et de répulsions qui animent le monde physique des atomes et des corps célestes.;Exposition;Manifestation;Tout public / Scolaires;
ART, CULTURE ET PATRIMOINE;LUMEN;Centre culturel René-Char;45 avenue du 8 mai 1945;04;Digne Les Bains;Atelier de codage créatif;Tel: 04 92 30 87 17 Mail: ecm@dignelesbains.fr;"Avec un intervenant artistique : Frédéric Alemany.
Thème : « la musique du système solaire », initiation à la programmation graphique et sonore en lien avec une exposition « OPPOSITE »
";Atelier / logiciel libre de programmation : pure data.;Activité et stage de loisir;Tout public;
ART, CULTURE ET PATRIMOINE;LUMEN;Centre culturel René-Char;45 avenue du 8 mai 1945;04;Digne Les Bains;Ateliers de création numérique ;Tel: 04 92 30 87 17 Mail: ecm@dignelesbains.fr;Le montage sonore et la création musicale, le montage photographique, et la création graphique, l’élaboration de contenus pour des œuvres participatives, l’élaboration de films en stop-motion.;Pédagogie active/ logiciels spécialisés (Suite Adobe, Reaper, Pinnacle studio plus…)/ utilisation de supports d’initiation.;Activité et stage de loisir sous la forme d’un atelier hebdomadaire;8-18 ans, plus précisément préado / ado;
ACCULTURATION ET EDUCATION AU NUMERIQUE;LUMEN;Centre culturel René-Char;45 avenue du 8 mai 1945;04;Digne Les Bains;Ateliers d’initiation numérique;Tel: 04 92 30 87 17 Mail: ecm@dignelesbains.fr;La recherche d’informations sur internet, les usages d’une messagerie électronique, le traitement de texte, le traitement de l’image,l’ utilisation de matériel tel tablettes tactiles.;Ateliers d’initiation/support d’initiation;Activité et stage de loisir sous la forme d’un atelier hebdomadaire;Tout public/seniors;
ART, CULTURE ET PATRIMOINE;LUMEN;Centre culturel René-Char;45 avenue du 8 mai 1945;04;Digne Les Bains;Ateliers  de création numérique;Tel: 04 92 30 87 17 Mail: ecm@dignelesbains.fr;A l’intention des accueils de loisirs, dans le cadre de manifestation nationales telles : printemps des poètes, dis moi dix mots, semaine du son…;Ateliers participatifs;Activité et stage de loisir ;Enfants âgés de 6 à 12 ans;
MISE A DISPOSITION D'ESPACES, DE MATERIELS ET DE RESSOURCES NUMERIQUES;Médiathèque de Barcelonnette;;Place Gilles de Gennes;04;Barcelonnette;CyberAdulte;Tel: 04 92 81 51 65 Mail: multi-media@ville-barcelonnette.fr;;Tous les outils numériques de la médiathèque sont mis en disposition des usagers (Tablettes sous androïd, liseuses, pc sous linux ou windows) et ces derniers peuvent venir avec leur matériel (wifi dans l'établissement).;L'animatrice Multimédia sensibilise tous les publics;18 ans +;
ACCULTURATION ET EDUCATION AU NUMERIQUE;Médiathèque de Barcelonnette;;Place Gilles de Gennes;04;Barcelonnette;CyberAdos;Tel: 04 92 81 51 65 Mail: multi-media@ville-barcelonnette.fr;S'approprier un environnement informatique de travail. Créer, produire, traiter, exploiter des données. Communiquer, échanger. S'informer, se documenter. ;;;11- 18 ans;
ACCULTURATION ET EDUCATION AU NUMERIQUE;Médiathèque de Barcelonnette;;Place Gilles de Gennes;04;Barcelonnette;CyberJeune;Tel: 04 92 81 51 65 Mail: multi-media@ville-barcelonnette.fr;;;En collaboration avec l'animatrice jeunesse-livre;4-11 ans;
ACCULTURATION ET EDUCATION AU NUMERIQUE;Médiathèque de Barcelonnette;;Place Gilles de Gennes;04;Barcelonnette;MultiTime Éducation/ Culture;Tel: 04 92 81 51 65 Mail: multi-media@ville-barcelonnette.fr;;;;Seniors;
INSERTION ET FORMATIONS PROFESSIONNELLES;Médiathèque de Barcelonnette;;Place Gilles de Gennes;04;Barcelonnette;MultiTime Emploi/ Insertion;Tel: 04 92 81 51 65 Mail: multi-media@ville-barcelonnette.fr;Apprentissage de la souris et du Traitement de texte. Création et gestion d'une boîte mail. Présentation et accompagnement des autoformations en ligne que propose la Médiathèque sur son portail (Vodeclic, ToutApprendre et Orthodidacte).;;Accompagnement individuel et collectif des demandeurs d’emploi.;Demandeurs d'emploi;
ADMINISTRATION EN LIGNE;MSAP Seyne les Alpes;;Rue du Barri ;04;Seyne-les-Alpes.;Du papier…au numérique;Tel: 04 92 35 28 50 Mail:  rspseyne@free.fr;;A la demande;Accompagnement individuel;Tout public;
INSERTION ET FORMATIONS PROFESSIONNELLES;Les Petits Débrouillards PACA;;;04;;Class Code;"Tel : 06 38 80 85 10
Mail : y.sanchez@lespetitsdebrouillards.org
";Class´Code propose un programme de formation gratuit à destination de toutes personnes désireuses d’initier les jeunes de 8 à 14 ans à la pensée informatique. Le programme comprendra de 1 à 5 modules de formation en ligne d’une dizaine d’heures chacun, couplé à des temps de rencontre présentielle pour partager, expérimenter et échanger entre apprenants.;Au travers d’une pratique concrète de la programmation et d’activités débranchées, comprendre les concepts clés de l’informatique et les enjeux de société qui y sont liés pour être en capacité d’animer des ateliers sur ces sujets dès le premier module. ;"La formation se fait :
– en ligne, pour acquérir un savoir-faire concret (apprentissage par la pratique) et partager des savoirs.
– lors de temps de rencontre* pour tester les activités avant de les proposer aux jeunes, bénéficier de temps d’échanges avec des professionnels de l’éducation et de l’informatique, rester en lien ensuite pour être accompagné.
";"Professionnels de l'enseignement, de la formation, de la médiation numérique, parents, tous curieux… 
Les contenus pédagogiques sur lesquels vous serez formés à animer sont destinés quant à eux à des enfants de 8 à 14 ans. 
";
ACCULTURATION ET EDUCATION AU NUMERIQUE;Les Petits Débrouillards PACA;;10 rue Arthur Robert;04;Manosque;D'Clic Lab, Open Lab, Récréa Lab…;"Tel : 06 38 80 85 10
Mail : y.sanchez@lespetitsdebrouillards.org
";Dispositif d'accompagnement des publics pour repérer les bonnes pratiques, s'initier au numérique, explorer les sciences, mutualiser du matériel, fabriquer ensemble, se rassembler pour questionner des enjeux de société... ;Par une approche ludique et interactive, nous tendons à attiser la curiosité des jeunes et des moins jeunes sur des questions dépassant le cadre strict des sciences et des techniques se rattachant au quotidien des publics. ;Ateliers et Stages collectifs au sein de l'espace numérique;Tout public;
ACCULTURATION ET EDUCATION AU NUMERIQUE;Les Petits Débrouillards PACA;;;04;;Le Science Tour du Numérique;"Tel : 06 38 80 85 10
Mail : y.sanchez@lespetitsdebrouillards.org
";Le Science Tour est un dispositif de mobilisation et de mise en avant des acteurs de la médiation numérique. Partant de l’idée d’un Fablab itinérant, il permet la création d’espaces d’échanges, de débat, d’expérimentations et de questionnements en tout lieu et surtout là où on ne l’attend pas ! ;"La démarche des Petits Débrouillards est basée sur l’expérimentation afin de développer un regard curieux et informé sur le monde qui nous entoure. 

Une mise en scène ludique et des constructions simples et sans danger, à partir de matériel courant et peu coûteux, favorisent la participation active des publics. 

En animation, les participants réalisent des expériences, observent, discutent, se posent des questions, construisent des réponses, se posent d’autres questions, réalisent des projets et apprennent à apprendre tout en s’amusant.
";Format événementiel et festif;Les publics privilégiés seront les jeunes ayant difficilement accès à l’offre de culture scientifique et numérique. Le projet vise prioritairement des interventions en semaine au sein de structures sociales et d’établissements scolaires situés en quartiers difficiles ou en zone rurale. Le science tour sera proposé au grand public les week-ends et mercredis. ;
ACCULTURATION ET EDUCATION AU NUMERIQUE;Centre de Ressources Hauts Pays Alpins;MSAP;3 rue Anatole France;05400;Veynes;Ateliers de de?couverte et de cre?ation d'objets nume?riques ;Tel: 04 92 57 24 02 Mail: f.morel@centre-de-ressources.fr;;;Ateliers collectifs au lyce?e;"
   Lyce?ens, e?quipe enseignante
   
   ";
ACCULTURATION ET EDUCATION AU NUMERIQUE;Centre de Ressources Hauts Pays Alpins;MSAP;3 rue Anatole France;05400;Veynes;Ateliers re?seaux sociaux au colle?ge de Veynes;Tel: 04 92 57 24 02 Mail: f.morel@centre-de-ressources.fr;;Jeux;Ateliers collectifs au colle?ge ;Adolescents de 5e?me;
INSERTION ET FORMATIONS PROFESSIONNELLES;Centre de Ressources Hauts Pays Alpins;MSAP;3 rue Anatole France;05400;Veynes;ANIMACOOP ;Tel: 04 92 57 24 02 Mail: f.morel@centre-de-ressources.fr;Se former a? animer des projets de manie?re collaborative !;;Formation professionnelle continue ;"
Salarie?s ou demandeurs d'emploi";
ART, CULTURE ET PATRIMOINE;Centre de Ressources Hauts Pays Alpins;MSAP;3 rue Anatole France;05400;Veynes;Atelier cre?ation de communs nume?riques : Wikipe?dia et OpenStreetMap ;Tel: 04 92 57 24 02 Mail: f.morel@centre-de-ressources.fr;;;Ateliers collectifs ;Tout public;
ART, CULTURE ET PATRIMOINE;Centre de Ressources Hauts Pays Alpins;MSAP;3 rue Anatole France;05400;Veynes ;Ateliers de cre?ation culturelle et nume?rique ;Tel: 04 92 57 24 02 Mail: f.morel@centre-de-ressources.fr;;MAO – vide?o - photos ;Ateliers collectifs dans les centres sociaux et centres de loisirs. ;Enfants de grande section de maternelle aux e?le?ves de 5e?me;
ART, CULTURE ET PATRIMOINE;Centre de Ressources Hauts Pays Alpins;MSAP;3 rue Anatole France;05400;Veynes ;TAP-NAP ;Tel: 04 92 57 24 02 Mail: f.morel@centre-de-ressources.fr;"De?couverte du nume?rique, apprentissage du code, cre?ation de BD etc.. ; variable en fonction des niveaux scolaires. ";;Ateliers collectifs dans les e?coles ;Enfants du CP au CM2;
INSERTION ET FORMATIONS PROFESSIONNELLES;Centre de Ressources Hauts Pays Alpins;MSAP;3 rue Anatole France;05400;Veynes ;Outils de bureautique ;Tel: 04 92 57 24 02 Mail: f.morel@centre-de-ressources.fr;;Formation individuelle ou collective, en fonction de la demande ;Formation professionnelle continue ;Salarie?s ou demandeurs d'emploi ;
ACCULTURATION ET EDUCATION AU NUMERIQUE;Centre de Ressources Hauts Pays Alpins;MSAP;3 rue Anatole France;05400;Veynes ;Sensibilisation / de?couverte);Tel: 04 92 45 42 14 Mail: jp.gros@centre-de-ressources.fr;;Ordinateurs portables et tablettes ;"Ateliers collectifs – de?couverte de l'interface nume?rique
   
   ";Seniors;
TRANSITION NUMERIQUE DES ENTREPRISES;Centre de Ressources Hauts Pays Alpins;MSAP;3 rue Anatole France;05400;Veynes ;Ateliers techniques re?seaux sociaux;Tel: 04 92 57 24 02 Mail: f.morel@centre-de-ressources.fr;;;Ateliers collectifs et accompagnement individuel;Sociaux-pro du territoire ;
ACCULTURATION ET EDUCATION AU NUMERIQUE;Centre de Ressources Hauts Pays Alpins;MSAP;3 rue Anatole France;05400;Veynes ;Soire?e Linuxalpes;Tel: 04 92 57 24 02 Mail: f.morel@centre-de-ressources.fr, jp.gros@centre-de-ressources.fr;Soire?e de de?couverte et d'installation de distribution Linux ;;Ateliers collectifs et accompagnement individuel;Tout public;
;Centre de Ressources Hauts Pays Alpins;MSAP;3 rue Anatole France;05400;Veynes ;"Cours ou stage a? l'Universite? du Temps Libre
Me?thode / Techniques / Outils utilise?s";Tel: 04 92 57 24 02 Mail: f.morel@centre-de-ressources.fr;;;Cours et stages collectifs ;Tout public;
ART, CULTURE ET PATRIMOINE;Fab'Alpes;;5 rue Olphe Gaillard;05000;GAP;Action de médiation autour de la fabrication numérique;Mail: contact@fabalpes.org;Apprendre à utiliser des logiciels et des machines numériques afin de réaliser des objets artistiques, de réparation ou de prototypes.;Utilisation des méthodes d'apprentissages par la pratique d'outils.;Ateliers, formations dédiés ou en groupe, activités récurentes;Tout public;
INSERTION ET FORMATIONS PROFESSIONNELLES;Association pour le De?veloppement en Re?seau des Territoires et des Services (ADRETS);;7 rue Bayard;05000;GAP;Animacoop ;Tel: 04 92 51 07 19 Mail: animacoop@centre-de-ressources.fr;Le projet de formation Animacoop PACA permet aux animateurs de projets de territoire d’animer des projets collaboratifs et de mai?triser des outils collaboratifs adapte?s a? leurs projets. ;"Une me?thode pe?dagogique innovante qui :
- place l'apprenant au centre et qui favorise son autonomie
- est adapte?e aux contraintes professionnelles des animateurs de projets
- est inscrite dans un projet de territoire et ce dans la dure?e en cre?ant une dynamique collective base?e sur l’interconnaissance.";Formation Professionnelle ;Animateurs de projets territoriaux ;
PARTICIPATION CITOYENNE;Association pour le De?veloppement en Re?seau des Territoires et des Services (ADRETS);;7 rue Bayard;05000;GAP;Cartographie des services et Infolab ;Tel: 04 92 51 07 19 Mail: adrets@adrets-asso.fr;"Le projet vise de manie?re large a? ame?liorer la connaissance et l’acce?s a? l’information sur les services du territoire. La carto partie permet aux habitants d'e?tre en position d' ""expert de leur territoire"" : ils co-construisent la donne?e, qui est ensuite mise a? disposition de tous. ";"OpenStreetMap / MapContrib/ UMap et Carto-Parties (https://wiki.openstreetmap.org/wiki/WikiProject_France/Mapping_Pa rties)
Ateliers Infolab, outils de Dataviz";Manifestation ;"Grand public en recherche d’information sur les services a? la population.
Associations d’accompagnement social.
Acteurs du champ du travail social ou de l’accueil (Maisons de services au public)";
INSERTION ET FORMATIONS PROFESSIONNELLES;Association pour le De?veloppement en Re?seau des Territoires et des Services (ADRETS);;7 rue Bayard;05000;GAP;Module 7: Accompagnement nume?rique ;Tel: 04 92 51 07 19 Mail: adrets@adrets-asso.fr;Un plan de formation adapte? aux missions exerce?es par les agents dans les Maisons de service au public a e?te? conc?u sur mesure et de?ploye? dans le re?seau : 55 jours de formation, re?partis sur sept modules the?matiques, dans onze villes. ;"Une me?thode pe?dagogique innovante qui place l'apprenant au centre, favorise les partages d’expe?rience, et permet un premier niveau d’acculturation nume?rique vers les agents des Msap sur une dure?e courte
- Une plateforme de formation en ligne et des webinaires permettant de comple?ter les contenus pe?dagogiques, approfondir certains points, et ancrer cette acculturation dans un temps plus long";Formation Professionnelle ;Agents d’accueil ou directeurs des Maisons de services au public ou organismes en devenir Msap ;
MISE A DISPOSITION D'ESPACES, DE MATERIELS ET DE RESSOURCES NUMERIQUES;Association pour le De?veloppement en Re?seau des Territoires et des Services (ADRETS);;7 rue Bayard;05000;GAP;MISE A DISPOSITION EQUIPEMENT NUMERIQUE ;Tel: 04 92 51 07 19 Mail: adrets@adrets-asso.fr;5 tablettes Samsung, 1 Salle de re?union (15 personnes, e?quipement visio);;;Adhe?rents de l’ADRETS (structures de l’ESS ou travaillant dans le domaine des services) ;
PRATIQUES COLLABORATIVES;Association pour le De?veloppement en Re?seau des Territoires et des Services (ADRETS);;7 rue Bayard;05000;GAP;Accompagnement de projets collaboratifs ;Tel: 04 92 51 07 19 Mail: adrets@adrets-asso.fr;"Dans le cadre de l’accompagnement de projets lie?s aux services a? la population en zone de montagne, l’ADRETS a de?veloppe? une expertise sur la mise en place de dynamiques collaboratives, la mise en re?seau d’acteurs, et l’utilisation des outils nume?riques pour ce faire.
Elle propose aujourd’hui des sessions de formation action ou d’accompagnement nume?rique lie?e aux pratiques collaboratives au sein de de?marches projets plus globales a? destination des acteurs des services en montagne.";"Ces sessions s’appuient entie?rement sur un projet concret porte? par le ou les demandeurs.
Elles pourront inte?grer des temps de formation action « classiques » et des temps de co-animation de re?union ou de groupes pour re?aliser un transfert de pratiques e cace vers le demandeur.
Ces sessions peuvent inte?grer di e?rentes typologies d’outils: travail collaboratif a? distance ou en re?union (Pads, cartes heuristiques, partage de documents, utilisation des re?seaux sociaux, visio), co-e?laboration ou co-de?cision (me?mes outils et inte?gration d’outils de vote ou de de?bat en ligne), connaissance collective du territoire (cartographie participative, infolab)";Accompagnement;Le projet re?pond donc au besoin fort des porteurs de projets au niveau territorial ou dans la sphe?re de l’e?conomie sociale et solidaire, qui sont fortement en demande de me?thodes et d’outils e caces pour mieux travailler ensemble. ;
PRATIQUES COLLABORATIVES;Association pour le De?veloppement en Re?seau des Territoires et des Services (ADRETS);;7 rue Bayard;05000;GAP;Accompagnement Visio ;Tel: 04 92 51 07 19 Mail: adrets@adrets-asso.fr;"L’ADRETS a accompagne? diffe?rents territoires et projets sur l’utilisation de la visio (visio-confe?rence, visio-rendez-vous) notamment dans le cadre de la de?mate?rialisation des services.
Elle propose aujourd’hui de l’accompagnement et des ressources aux structures souhaitant utiliser cet outil.";"Formation - Action pour permettre l’appropriation de la visio par les acteurs
Guides me?thodologiques sur les bonnes pratiques en termes d’e?quipement, et en termes d’animation de re?unions ou rendez- vous en visio-communication";"

Accompagnement";Collectivite?s Fournisseurs de services Accueillants (Msap, Eric);
